system:index,NDVI,aspect,b1,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b2,b3,b4,b5,b6,b7,b8,b9,CHM,eastness,elevation,GHMI,landcover,month,NARI,NCRI,northness,random,slope,snow_cover,snow_depth,species,SWE,year,.geo
48_0_0,0.659659932,306,-0.35913086,8.832092,-9.993744,1461.811,235.6681,37.60304,37.60304,576.58606,183.12877,534.6843,223.0032,-0.35913086,-0.35913086,-0.35913086,15.370636,-4.6419373,-4.6419373,7.798889,-7.697937,1,-0.809016994,2264,0.19378236,321,7,0.21575342,0.29446837,0.587785252,0.50585313,21,63.20228515,0.67612013,Lagopus muta,0.192384728,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.037499999999996,46.87083333333332]}"
49_0_0,0.541856856,283,0.31976318,9.22345,-9.025452,1654.5238,257.8434,45.315052,45.315052,645.06116,219.98961,599.8034,260.57034,0.31976318,0.31976318,0.31976318,15.887604,-4.007538,-4.007538,8.427551,-6.653015,0,-0.974370065,1912,0.065495625,322,7,0.097335756,0.22211157,0.224951054,0.376729655,26,59.53175565,0.564831638,Lagopus muta,0.169362018,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.362499999999997,47.12083333333332]}"
50_0_0,0.438579534,311,0.2871704,9.248871,-9.075623,1519.9012,213.40012,47.564728,47.564728,549.0533,224.61192,533.5796,265.35422,0.2871704,0.2871704,0.2871704,16.094574,-3.9668884,-3.9668884,8.986755,-7.257141,0,-0.75470958,2157,0.009803033,333,7,0.18644066,0.14233072,0.656059029,0.880535033,10,55.53203552,0.493006033,Lagopus muta,0.14896593,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.720833333333331,47.279166666666654]}"
53_0_0,0.476781724,120,-2.731598,6.255768,-12.06662,1646.4253,233.18536,49.639484,49.639484,615.11804,225.66759,625.03235,262.2795,-2.731598,-2.731598,-2.731598,12.928925,-6.7858887,-6.7858887,7.232849,-10.985931,0,0.866025404,2394,0.019270562,333,7,0.062444333,0.046061717,-0.5,0.401337099,8,67.50264102,0.85183052,Lagopus muta,0.250648728,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.845833333333331,47.13749999999999]}"
54_0_0,0.037058742,85,-6.007843,3.4802246,-15.939301,1287.1321,200.30528,36.000225,36.000225,482.68127,172.12703,460.65784,219.62091,-6.007843,-6.007843,-6.007843,10.321869,-10.594177,-10.594177,2.9100952,-13.0971985,0,0.996194698,2972,0.0174895,332,8,0.00644617,-0.024653513,0.087155743,0.179019314,3,99.98046875,33.33300781,Lagopus muta,10,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.82083333333333,46.83749999999999]}"
55_0_0,0.360917102,337,-1.0546265,7.9681396,-10.648224,1983.2971,304.47263,52.27151,52.27151,729.5079,274.93945,661.44684,368.59183,-1.0546265,-1.0546265,-1.0546265,14.545258,-5.6406555,-5.6406555,6.5360107,-6.8209534,0,-0.390731128,2317,0.04896695,333,8,0.14709371,0.10171852,0.920504853,0.402232488,3,58.62427214,0.685414396,Lagopus muta,0.216267891,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.104166666666663,47.22916666666666]}"
56_0_0,0.44902879,254,-1.2460022,7.8098145,-10.945221,1843.3152,287.8764,46.358967,46.358967,712.0614,242.64664,658.0554,310.35516,-1.2460022,-1.2460022,-1.2460022,14.37088,-6.011902,-6.011902,7.101654,-7.7901,0,-0.961261696,2210,0.015739534,332,8,0.1396779,0.13038734,-0.275637356,0.062757772,12,57.78534985,0.585239924,Lagopus muta,0.17994435,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.637499999999996,47.320833333333326]}"
57_0_0,0.112919886,285,-4.122986,5.208069,-14.045258,1526.314,230.532,42.661552,42.661552,554.19604,219.63663,516.972,288.8649,-4.122986,-4.122986,-4.122986,12.251404,-9.031708,-9.031708,4.5102234,-10.014191,0,-0.965925826,2714,0.007901443,333,8,0.03145378,0.005177909,0.258819045,0.526774506,7,63.44087021,0.75011027,Lagopus muta,0.229336676,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.504166666666663,47.037499999999994]}"
58_0_0,0.291905937,263,-1.5386963,7.427643,-10.9149475,1557.314,214.58253,49.469093,49.469093,565.1381,227.15907,568.17267,261.3232,-1.5386963,-1.5386963,-1.5386963,14.315887,-5.8623657,-5.8623657,8.187103,-9.750427,0,-0.992546152,2511,0.011050744,333,8,0.0863278,0.06038232,-0.121869343,0.197162206,18,55.50502787,0.496046993,Lagopus muta,0.149686912,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.754166666666666,47.27083333333332]}"
61_0_0,-0.022425572,16,-2.5308533,6.5162964,-11.906433,2089.3696,300.1917,59.747192,59.747192,765.64056,296.44574,719.17645,364.24017,-2.5308533,-2.5308533,-2.5308533,13.401642,-7.0378113,-7.0378113,6.360016,-10.79068,0,0.275637356,2578,0.038595527,332,8,0.045208525,-0.003515199,0.961261696,0.569650958,10,53.16970468,0.514405633,Lagopus muta,0.159643239,2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.629166666666666,47.47916666666666]}"
