system:index,NDVI,aspect,b1,b10,b11,b12,b13,b14,b15,b16,b17,b18,b19,b2,b3,b4,b5,b6,b7,b8,b9,chm,ghmi,elevation,landcover,nari,ncri,random,slope,snow_cover,snow_depth,swe,.geo
3656_0,0.665788682402265,27,9.480957,18.393646,0.054779053,1094.7062,174.06267,31.26106,31.26106,387.67477,164.39844,341.07578,229.30267,9.480957,9.480957,9.480957,24.838928,5.8060303,5.8060303,13.836273,5.3027954,3,0.42118758,438,211,0.2394995,0.4194367,0.5842364491195897,1,6.92312086307997,0.009006373261513908,0.0014991726007735518,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.645833333333332,48.212499999999984]}"
3657_0,0.787119789187319,246,5.7979126,14.365814,-3.4691162,1696.9438,267.47134,44.561794,44.561794,660.5971,231.7826,616.86957,291.89322,5.7979126,5.7979126,5.7979126,20.547882,1.3959656,1.3959656,13.192902,-0.3284912,8,0.19829503,1077,312,0.30010837,0.51259136,0.37517771284206813,17,45.78938278845332,0.28078754666837663,0.08025932556627224,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.74583333333333,47.504166666666656]}"
3658_0,0.7312663579537972,6,3.0944214,11.761749,-6.101227,1575.567,240.4054,45.7061,45.7061,599.9719,213.30908,570.3002,263.59018,3.0944214,3.0944214,3.0944214,17.931458,-0.7333069,-0.7333069,10.951904,-4.0132446,3,0.1058946,1473,312,0.26340696,0.34344262,0.11430012214850471,3,38.57815717357074,0.15939321313554491,0.04103703152029905,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.320833333333333,47.61249999999999]}"
3659_0,0.2678426687154134,120,0.0960083,9.267822,-10.028961,1842.4408,288.86057,39.675987,39.675987,694.0626,194.81514,662.8556,238.95175,0.0960083,0.0960083,0.0960083,15.860931,-4.53537,-4.53537,8.077911,-9.332489,0,0.006132595,1972,332,0.098647304,0.10692175,0.844983810591969,18,44.34943715176841,0.23209796841156521,0.06513198423320389,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.904166666666665,46.629166666666656]}"
3660_0,0.8375325583611557,337,4.72995,13.277649,-4.26178,1656.8428,250.92703,46.858627,46.858627,628.2962,234.73067,578.57324,277.92926,4.72995,4.72995,4.72995,19.83899,0.53619385,0.53619385,11.751404,-1.3883057,16,0.29377884,1027,231,0.29339856,0.58345085,0.8595466591249087,17,52.991071555802556,0.38767210077163133,0.11320320721690208,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.512499999999996,47.24583333333332]}"
3661_0,0.7336277056844928,262,3.7554016,12.223572,-5.2664795,1465.5342,232.11768,39.26621,39.26621,579.5105,173.8293,564.713,210.25087,3.7554016,3.7554016,3.7554016,17.950226,0.046661377,0.046661377,12.973297,-4.457428,6,0.15241857,1477,312,0.2842933,0.47634074,0.6867776497863437,13,18.314862363913587,0.03185489652801528,0.006121066515705546,"{""geodesic"":false,""type"":""Point"",""coordinates"":[15.895833333333336,47.53749999999999]}"
3662_0,0.6400936806224313,113,7.1165466,15.416901,-1.6048889,1576.5791,235.61967,44.29262,44.29262,594.5805,231.76547,550.533,288.90845,7.1165466,7.1165466,7.1165466,21.782837,3.0411987,3.0411987,13.969696,2.0472717,4,0.7020546,755,242,0.21100415,0.44614273,0.955971522140054,2,59.237359905808255,0.6003456933282034,0.18494478437490677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[10.704166666666662,47.21249999999999]}"
3663_0,0.4446058825401135,225,-0.5402527,8.480408,-9.915619,1443.6687,214.96127,41.58429,41.58429,544.6723,198.66766,516.04156,239.80614,-0.5402527,-0.5402527,-0.5402527,15.276093,-4.715027,-4.715027,8.138123,-7.3207703,0,0.0066591697,2335,333,0.04208039,0.033050597,0.27583874040086587,16,61.99572848534399,0.6371717405167009,0.18608973915588894,"{""geodesic"":false,""type"":""Point"",""coordinates"":[11.94583333333333,47.070833333333326]}"
3664_0,0.702107013316558,299,4.3519287,13.312439,-5.2398376,1197.5345,187.12672,31.681993,31.681993,471.508,145.7797,450.94406,174.57222,4.3519287,4.3519287,4.3519287,19.965881,0.15234375,0.15234375,11.951416,-3.605896,8,0.08844666,1330,312,0.28038338,0.45374757,0.22881351733397304,13,37.31700340928523,0.12019778841769266,0.029178214192770956,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.5375,47.17916666666666]}"
3665_0,0.7151261998337426,222,8.07663,17.01654,-1.4060669,969.8082,158.80019,25.922365,25.922365,360.43387,137.22261,324.43622,190.15848,8.07663,8.07663,8.07663,23.360687,4.4022217,4.4022217,14.089233,3.2298584,4,0.42641425,612,231,0.23659204,0.45404407,0.8418642408181478,3,9.456948311210386,0.01316466812015504,0.0021963105373495636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.087499999999999,48.48749999999998]}"
3666_0,0.5820068249456912,306,9.401306,18.284515,-0.07070923,1169.0287,185.32677,32.887302,32.887302,417.03027,174.5383,371.19794,240.32512,9.401306,9.401306,9.401306,24.659363,5.5352783,5.5352783,14.6409,5.0687256,0,0.6446221,401,211,0.2234957,0.41284403,0.69700028851888,1,8.554322569325695,0.011465591869015048,0.0019336958427272645,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.987499999999999,48.05416666666665]}"
